197,all,98
300,all,159
727,all,7
3435,all,1104
3654,all,10
4044,all,2
5141,all,130
6572,all,11
7716,all,39
9089,all,0
9425,all,9
9827,all,2
10325,all,6
11068,all,43
11447,all,42
11534,all,64
12104,all,0
12485,all,9
12659,all,12
13112,all,88
13282,all,158
14207,all,36
14663,all,423
15170,all,27
15191,all,134
15200,all,16
15257,all,4
15413,all,0
16235,all,0
16241,all,115
16434,all,0
17199,all,0
17946,all,1
18030,all,93
18435,all,13
19869,all,9
19914,all,8
20499,all,1
21399,all,105
21570,all,2
22108,all,62
22282,all,12
23160,all,0
23571,all,0
23799,all,3
24018,all,0
24528,all,113
24867,all,0
25455,all,1
25839,all,14
26115,all,0
26427,all,6
27195,all,34
27462,all,28
28810,all,26
28881,all,0
28887,all,43
30087,all,0
30174,all,0
31275,all,0
31299,all,60
31344,all,27
31491,all,18
32340,all,3
32439,all,0
32715,all,1
32754,all,28
32782,all,9
32869,all,44
33166,all,19
33172,all,223
33388,all,1
33796,all,0
35134,all,47
35299,all,476
35911,all,4
36046,all,11
36223,all,0
37060,all,763
37645,all,345
38095,all,2
38581,all,5
39412,all,6
39436,all,26
41158,all,43
41590,all,5
41655,all,1107
42004,all,0
42093,all,97
42301,all,7
43162,all,0
43429,all,18
44815,all,0
47623,all,1
49732,all,0
50470,all,0
50485,all,5
50887,all,512
51007,all,1
51412,all,15
52372,all,0
52381,all,0
52564,all,40
53350,all,225
53830,all,4
54388,all,284
54661,all,1
54886,all,8
55159,all,21
55608,all,14
55750,all,2
57079,all,0
57886,all,96
58552,all,1065
58630,all,2
59548,all,0
59590,all,1
59596,all,0
60163,all,335
60604,all,1
61102,all,1
61143,all,4
61285,all,130
61294,all,0
61390,all,12
61695,all,45
62127,all,16
62623,all,61
62940,all,46
64381,all,87
64477,all,0
64768,all,6
65023,all,0
65236,all,2
65271,all,1
65593,all,22
65713,all,100
65836,all,3
66220,all,1
66811,all,1
67435,all,8
67936,all,763
68077,all,321
68795,all,191
70012,all,3
70270,all,0
70444,all,0
70810,all,6
71005,all,81
71275,all,24
71449,all,3
72136,all,161
72667,all,1
74794,all,0
75706,all,5
75742,all,0
75871,all,4
75949,all,2
77161,all,3
79531,all,1
79996,all,7
80062,all,8
80078,all,19
80251,all,0
80701,all,0
81034,all,1
81196,all,1
81229,all,1
81244,all,9
81520,all,13
82606,all,8
82840,all,3
82846,all,12
82894,all,0
83405,all,241
84923,all,186
85291,all,1
85339,all,0
85567,all,3
85852,all,1
86953,all,0
87277,all,0
88120,all,7
88489,all,1
89185,all,1696
89362,all,0
90545,all,548
90904,all,2
92137,all,4
92188,all,11
92536,all,0
92542,all,5
93019,all,13
94666,all,8
95722,all,0
96025,all,0
96223,all,5
96283,all,3
99019,all,89
99049,all,0
99211,all,1
99376,all,23
99577,all,17
99802,all,129
99904,all,1
100267,all,91
100840,all,0
101615,all,4
101896,all,0
102811,all,0
102955,all,0
103198,all,1
103855,all,6
105436,all,25
105562,all,4
105613,all,11
105865,all,19
105932,all,16
106057,all,0
106714,all,18
107245,all,21
107446,all,41
108124,all,1
108475,all,0
110617,all,0
110680,all,11
110906,all,280
111017,all,4
111401,all,16
111406,all,51
112381,all,0
113465,all,4
113881,all,0
113929,all,3
114176,all,0
114811,all,0
115207,all,0
116248,all,21
116314,all,0
117691,all,26
117850,all,1
118234,all,0
118249,all,0
119041,all,209
119563,all,1
119596,all,2
120347,all,4
120586,all,0
121597,all,11
121630,all,5
123628,all,42
123928,all,37
124111,all,10
124666,all,5
