20141221,51007,33,10,691,1616,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141221,92188,39,12,203,1561,222,104,1,1,1,1,5339,1,1,2052,1,1,1,0,0,20,0,0,0,17,0,1,2052,1,1
20141221,96283,32,11,629,190,9,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20141221,108475,7,12,684,9,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
20141221,135033,4,11,511,1283,79,41,1,1,2,3,3668,5,2,1252,2,4,2,0,0,10,0,0,0,9,0,2,1252,4,2
20141221,19914,36,4,518,1369,35,17,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0
20141221,110906,18,12,422,51,803,415,27,21,40,21,84274,21,20,21013,18,18,18,0,0,145,0,0,0,119,0,18,21013,18,18
20141221,55750,39,12,203,1561,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
20141221,64381,21,11,601,810,219,104,6,4,2,3,5356,3,3,2399,2,2,2,0,0,30,0,0,0,28,0,2,2399,2,2
20141221,39436,32,11,234,306,126,81,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,32,0,0,0,0,0
20141221,70012,17,12,231,492,56,38,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141221,85567,4,11,82,268,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141221,148668,37,11,480,728,288,135,2,2,1,2,1147,2,2,411,2,2,2,1,1,22,0,1,1,20,0,2,411,2,2
20141221,147255,7,12,234,306,21,17,1,1,0,1,1993,1,1,1536,1,1,1,0,0,4,0,0,0,4,0,1,1536,1,1
20141221,33166,26,8,600,705,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
