33796,all,15.87_9.49
104536,all,46.19_85.78
121016,all,40.81_11.7
29262,all,47.59_88.43
104776,all,47.6_80.41
92536,all,46.29_81.58
72136,all,45.06_11.85
9533,all,11.93_45.74
14663,all,36.93_73.92
24222,all,43.2_95.56
109336,all,41.28_91.61
30442,all,36.41_70.96
22282,all,11.83_40.56
27462,all,43.72_95.41
29542,all,41.92_93.66
65236,all,47.41_95.84
12223,all,42.47_73.35
101896,all,46.79_15.43
154800,all,47.23_11.17
38716,all,47.85_87.8
130696,all,44.73_87.44
53116,all,44.24_91.07
26562,all,46.11_88.97
38836,all,47.34_15.86
65476,all,41.89_91.79
57316,all,21.98_30.9
26622,all,36.34_75.72
164240,all,42.52_83.71
51316,all,42.64_11.72
59596,all,45.1_11.03
15413,all,16.15_23.53
14393,all,16.2_9.44
156560,all,43.58_15.77
39436,all,43.35_10.35
16043,all,44.36_10.41
55996,all,41.54_93.33
166800,all,38.63_72.7
10943,all,45.66_10.77
8903,all,33.3_88.18
8393,all,46.47_81.28
13013,all,44.67_89.82
39796,all,47.92_15.87
8933,all,36.29_72.33
19962,all,43.28_92.48
147185,all,42.52_16.29
132465,all,42.62_10.2
151025,all,47.08_85.24
121081,all,47.26_16.91
113161,all,41.46_75.8
113881,all,42.88_10.9
77161,all,41.38_81.3
93881,all,44.03_16.84
127081,all,40.02_90.65
111401,all,41.22_10.24
135090,all,20.47_30.38
148275,all,47.58_83.36
141395,all,47.55_10.62
52381,all,46.93_11.13
96586,all,17.74_9.11
84586,all,44.82_87.37
42301,all,40.38_91.75
54661,all,44.85_11.46
38341,all,39.19_75.45
56821,all,46.21_16.77
54781,all,40.5_81.11
38581,all,22.27_39.5
162900,all,44.25_10.03
81466,all,47.63_17.49
110906,all,47.87_85.23
94666,all,43.19_11.85
156660,all,43.66_15.6
78346,all,41.98_10.46
91226,all,42.67_91.26
79066,all,42.88_15.52
60061,all,22.73_35.64
55981,all,40.18_89.14
99706,all,40.22_89.12
64381,all,46.81_11.52
124666,all,40.07_11.7
